state_abbr,state_fips,place_fips,stpl_fips,city_name
PA,42,63624,4263624,Reading
CA,06,13210,0613210,Chino
AR,05,24550,0524550,Fort Smith
IL,17,79293,1779293,Waukegan
CA,06,32548,0632548,Hawthorne
WA,53,05280,5305280,Bellingham
CA,06,13588,0613588,Citrus Heights
IL,17,12385,1712385,Champaign
CA,06,85292,0685292,Whittier
MO,29,54074,2954074,O'Fallon
CA,06,51182,0651182,Newport Beach
UT,49,55980,4955980,Ogden
MN,27,17000,2717000,Duluth
MN,27,06616,2706616,Bloomington
CA,06,60102,0660102,Redwood City
NJ,34,13690,3413690,Clifton
CA,06,00884,0600884,Alhambra
CT,09,18430,0918430,Danbury
CA,06,33182,0633182,Hemet
IN,18,05860,1805860,Bloomington
MI,26,80700,2680700,Troy
NM,35,70500,3570500,Santa Fe
AR,05,23290,0523290,Fayetteville
NJ,34,74000,3474000,Trenton
TX,48,48768,4848768,Mission
SC,45,48535,4548535,Mount Pleasant
GA,13,42425,1342425,Johns Creek
AZ,04,04720,0404720,Avondale
FL,12,39425,1239425,Largo
TX,48,10912,4810912,Bryan
IL,17,14351,1714351,Cicero
CA,06,39496,0639496,Lake Forest
CA,06,08786,0608786,Buena Park
CA,06,46898,0646898,Merced
TX,48,43888,4843888,Longview
UT,49,65330,4965330,St. George
MI,26,86000,2686000,Westland
MI,26,27440,2627440,Farmington Hills
RI,44,19180,4419180,Cranston
RI,44,74300,4474300,Warwick
CA,06,49670,0649670,Mountain View
CA,06,57792,0657792,Pleasanton
CA,06,39892,0639892,Lakewood
FL,12,43975,1243975,Melbourne
MA,25,62535,2562535,Somerville
WA,53,35275,5335275,Kennewick
CA,06,80854,0680854,Tustin
VA,51,47672,5147672,Lynchburg
OR,41,47000,4147000,Medford
FL,12,16725,1216725,Deerfield Beach
MA,25,34550,2534550,Lawrence
MN,27,07966,2707966,Brooklyn Park
OH,39,61000,3961000,Parma
CA,06,50258,0650258,Napa
CA,06,13214,0613214,Chino Hills
NY,36,50617,3650617,New Rochelle
WA,53,03180,5303180,Auburn
AR,05,66080,0566080,Springdale
CA,06,00562,0600562,Alameda
IL,17,06613,1706613,Bloomington
TX,48,57200,4857200,Pharr
WI,55,66000,5566000,Racine
CA,06,04982,0604982,Bellflower
CA,06,47766,0647766,Milpitas
MN,27,51730,2751730,Plymouth
CA,06,45484,0645484,Manteca
IN,18,31000,1831000,Hammond
CA,06,24638,0624638,Folsom
PA,42,69000,4269000,Scranton
IN,18,27000,1827000,Gary
TX,48,06128,4806128,Baytown
CA,06,81344,0681344,Upland
CA,06,56700,0656700,Perris
LA,22,41155,2241155,Lake Charles
CA,06,03666,0603666,Baldwin Park
MI,26,42160,2642160,Kalamazoo
IL,17,02154,1702154,Arlington Heights
FL,12,07875,1207875,Boynton Beach
MI,26,88940,2688940,Wyoming
CO,08,46465,0846465,Loveland
CA,06,68378,0668378,San Ramon
PA,42,06088,4206088,Bethlehem
IL,17,24582,1724582,Evanston
UT,49,43660,4943660,Layton
GA,13,80508,1380508,Warner Robins
AR,05,35710,0535710,Jonesboro
GA,13,01052,1301052,Albany
NJ,34,10000,3410000,Camden
CA,06,81204,0681204,Union City
IL,17,68003,1768003,Schaumburg
IL,17,07133,1707133,Bolingbrook
WI,55,02375,5502375,Appleton
MI,26,69035,2669035,Rochester Hills
SD,46,52980,4652980,Rapid City
TX,48,48804,4848804,Missouri City
MI,26,74900,2674900,Southfield
IL,17,18823,1718823,Decatur
CT,09,50370,0950370,New Britain
IN,18,40788,1840788,Lafayette
WI,55,84250,5584250,Waukesha
CA,06,02364,0602364,Apple Valley
CA,06,80812,0680812,Turlock
MT,30,50200,3050200,Missoula
SC,45,61405,4561405,Rock Hill
RI,44,54640,4454640,Pawtucket
MS,28,29700,2829700,Gulfport
FL,12,39550,1239550,Lauderhill
OH,39,12000,3912000,Canton
CA,06,44574,0644574,Lynwood
CA,06,59962,0659962,Redlands
DE,10,77580,1077580,Wilmington
NJ,34,56550,3456550,Passaic
IN,18,51876,1851876,Muncie
IL,17,57225,1757225,Palatine
NJ,34,74630,3474630,Union City
NY,36,49121,3649121,Mount Vernon
CA,06,60018,0660018,Redondo Beach
LA,22,39475,2239475,Kenner
ME,23,60545,2360545,Portland
NY,36,65508,3665508,Schenectady
OH,39,88000,3988000,Youngstown
WY,56,13900,5613900,Cheyenne
WV,54,14600,5414600,Charleston
VT,50,10675,5010675,Burlington
NJ,34,46680,3446680,Millville
NJ,34,59640,3459640,Pleasantville
NJ,34,26340,3426340,Glassboro
NJ,34,29430,3429430,Hammonton
NJ,34,08920,3408920,Burlington
NJ,34,13360,3413360,Clayton
NJ,34,57750,3457750,Penns Grove
NJ,34,65490,3465490,Salem
NJ,34,20350,3420350,Egg Harbor City
NJ,34,39420,3439420,Lawnside
AL,01,35896,0135896,Hoover
AL,01,37000,0137000,Huntsville
CO,08,43000,0843000,Lakewood
FL,12,17200,1217200,Deltona
FL,12,54200,1254200,Palm Coast
GA,13,03440,1303440,Athens
GA,13,04204,1304204,Augusta
GA,13,19000,1319000,Columbus
GA,13,49000,1349000,Macon
IA,19,12000,1912000,Cedar Rapids
IA,19,19000,1919000,Davenport
IA,19,21000,1921000,Des Moines
IA,19,38595,1938595,Iowa City
IA,19,73335,1973335,Sioux City
IA,19,82425,1982425,Waterloo
KS,20,36000,2036000,Kansas City
KS,20,38900,2038900,Lawrence
KY,21,48006,2148006,Louisville
MS,28,36000,2836000,Jackson
MO,29,64550,2964550,St. Joseph
NC,37,02140,3702140,Asheville
NC,37,10740,3710740,Cary
NC,37,12000,3712000,Charlotte
NC,37,14100,3714100,Concord
NC,37,19000,3719000,Durham
NC,37,22920,3722920,Fayetteville
NC,37,25580,3725580,Gastonia
NC,37,28000,3728000,Greensboro
NC,37,28080,3728080,Greenville
NC,37,31400,3731400,High Point
NC,37,34200,3734200,Jacksonville
NC,37,55000,3755000,Raleigh
NC,37,74440,3774440,Wilmington
NC,37,75000,3775000,Winston-Salem
