FIPS_STATE,FIPS_PLACE,FIPS_STATE_PLACE,CITY_NAME,ST_NAME,NYU_500_LARGEST,YEAR,POP_TOTAL,PER_AGE_15TO44,PER_AGE_18PLUS,PER_AGE_65PLUS,POP_MALE,POP_FEMALE,POP_WHITE,POP_BLACK,POP_ASIAN,POP_AIAN,POP_NHOPI,POP_NONHISPANIC,POP_HISPANIC
01,07000,0107000,Birmingham city, Alabama,1,2010,211670,42.80,78.70,13.10,98760,112910,47657,158193,1528,593,0,204155,7515
01,21184,0121184,Dothan city, Alabama,0,2010,66121,38.70,74.80,14.30,31087,35034,41867,21123,916,186,0,64104,2017
01,35896,0135896,Hoover city, Alabama,1,2010,80376,39.70,71.30,12.40,38694,41682,57507,11555,5345,235,0,72254,8122
01,37000,0137000,Huntsville city, Alabama,1,2010,181126,42.50,78.40,13.50,88132,92994,114796,53460,5734,434,161,170562,10564
01,50000,0150000,Mobile city, Alabama,1,2010,195249,40.50,76.70,13.90,91746,103503,89418,98746,2621,474,53,190257,4992
01,51000,0151000,Montgomery city, Alabama,1,2010,206655,43.50,75.30,11.80,97605,109050,78817,115853,4368,571,90,198566,8089
01,77256,0177256,Tuscaloosa city, Alabama,1,2010,90637,50.70,79.90,11.00,43997,46640,48895,38870,861,0,0,86642,3995
02,03000,0203000,Anchorage municipality, Alaska,1,2010,293227,44.60,74.10,7.00,148566,144661,195553,17874,23986,21787,6388,270925,22302
04,04720,0404720,Avondale city, Arizona,1,2010,76446,45.60,66.50,4.60,39206,37240,59236,6888,1557,1039,189,32456,43990
04,12000,0412000,Chandler city, Arizona,1,2010,236775,44.00,72.30,7.20,116459,120316,181872,12980,24702,1834,384,180028,56747
04,23620,0423620,Flagstaff city, Arizona,0,2010,65976,58.10,80.00,7.60,31783,34193,47043,1248,1731,8413,51,54703,11273
04,27400,0427400,Gilbert town, Arizona,1,2010,209007,43.90,70.00,5.80,103460,105547,173989,11926,10597,2577,205,180642,28365
04,27820,0427820,Glendale city, Arizona,1,2010,227358,44.40,71.80,8.60,112794,114564,160175,15327,8313,4836,697,141901,85457
04,28380,0428380,Goodyear city, Arizona,0,2010,65445,46.30,72.50,9.90,31194,34251,57568,2244,904,2116,0,43326,22119
04,46000,0446000,Mesa city, Arizona,1,2010,440248,40.40,74.50,14.70,214522,225726,369684,13168,10333,11202,1308,324773,115475
04,54050,0454050,Peoria city, Arizona,1,2010,154475,40.30,74.60,14.10,73403,81072,133143,5866,6887,1422,56,122187,32288
04,55000,0455000,Phoenix city, Arizona,1,2010,1449481,45.00,72.20,8.70,731869,717612,1128609,100335,42050,24637,2515,877736,571745
04,64210,0464210,San Tan Valley CDP, Arizona,0,2010,74977,44.40,60.70,6.10,36003,38974,49889,3298,2977,2077,1237,52826,22151
04,65000,0465000,Scottsdale city, Arizona,1,2010,217977,33.50,82.60,19.80,104832,113145,200918,4118,5771,1397,169,202249,15728
04,71510,0471510,Surprise city, Arizona,1,2010,117826,37.00,70.20,18.10,57572,60254,106563,3721,786,795,0,97971,19855
04,73000,0473000,Tempe city, Arizona,1,2010,162123,56.80,80.70,9.90,83327,78796,127359,8114,9884,4731,1987,127900,34223
04,77000,0477000,Tucson city, Arizona,1,2010,521132,45.60,77.30,12.00,258275,262857,406502,24883,12609,16563,1026,309756,211376
04,85540,0485540,Yuma city, Arizona,1,2010,93409,45.10,70.20,10.50,46307,47102,60535,2827,1616,845,107,40308,53101
05,23290,0523290,Fayetteville city, Arkansas,1,2010,73946,57.60,81.30,9.90,35991,37955,63496,4865,1361,1111,0,69737,4209
05,24550,0524550,Fort Smith city, Arkansas,1,2010,86338,41.90,74.90,12.00,42421,43917,68833,8336,4413,452,0,72034,14304
