FIPS_STATE,FIPS_PLACE,FIPS_STATE_PLACE,CITY_NAME,ST_NAME,NYU_500_LARGEST,YEAR,POP_TOTAL,PER_AGE_15TO44,PER_AGE_18PLUS,PER_AGE_65PLUS,POP_MALE,POP_FEMALE,POP_WHITE,POP_BLACK,POP_ASIAN,POP_AIAN,POP_NHOPI,POP_NONHISPANIC,POP_HISPANIC
6,11390,611390,Carmichael CDP, California,0,2015,63215,36.9,78.8,18.6,29281,33934,50066,3123,1617,210,268,53924,9291
6,11530,611530,Carson city, California,1,2015,93296,40,80.6,17.1,43790,49506,26187,18859,29489,1579,2389,60358,32938
6,13014,613014,Chico city, California,1,2015,90336,52.4,81.3,13.2,46168,44168,75512,1191,4554,879,134,74758,15578
6,13210,613210,Chino city, California,1,2015,85599,46.7,80.9,9.3,50989,34610,38503,4386,10959,504,146,40104,45495
6,13214,613214,Chino Hills city, California,1,2015,78313,39.1,78.7,10.8,39639,38674,37675,3221,26951,719,124,55774,22539
6,13392,613392,Chula Vista city, California,1,2015,265754,44,74.1,11.4,131485,134269,173466,13412,42433,823,1354,109232,156522
6,13588,613588,Citrus Heights city, California,1,2015,87053,40.1,78.9,16.8,41982,45071,74148,4782,2215,109,196,72392,14661
6,14218,614218,Clovis city, California,1,2015,104172,39.5,75.9,14.7,52392,51780,74136,2721,12745,731,0,80428,23744
6,15044,615044,Compton city, California,1,2015,98448,44.5,71.5,9,49264,49184,52935,25938,1624,269,981,30925,67523
6,16000,616000,Concord city, California,1,2015,128668,41.2,79,13,62310,66358,86429,5168,13828,145,936,87268,41400
6,16350,616350,Corona city, California,1,2015,164242,43.1,75.9,10.2,79749,84493,112825,8235,18099,571,221,95650,68592
6,16532,616532,Costa Mesa city, California,1,2015,113186,49.9,80.2,10.1,59097,54089,84639,2688,7676,1006,1256,74947,38239
6,17918,617918,Daly City city, California,1,2015,106574,43.9,84.1,14.5,53817,52757,22619,4570,59688,553,2255,82258,24316
6,18100,618100,Davis city, California,0,2015,67656,55.2,82.9,12.6,33493,34163,43506,1374,14682,97,98,58615,9041
6,19766,619766,Downey city, California,1,2015,114211,44.7,78.9,10.6,53006,61205,76069,4832,8782,243,101,29405,84806
6,20802,620802,East Los Angeles CDP, California,0,2015,119666,45.8,73.7,11,60460,59206,48057,363,945,451,0,3455,116211
6,21712,621712,El Cajon city, California,1,2015,103688,43.3,74.4,10.1,54450,49238,78399,5406,2707,168,912,72146,31542
6,22020,622020,Elk Grove city, California,1,2015,166890,40.9,73.6,9.9,80057,86833,75674,16672,50282,379,3014,138109,28781
6,22230,622230,El Monte city, California,1,2015,116745,41.8,77.9,14,57961,58784,63280,274,32881,426,130,39222,77523
6,22804,622804,Escondido city, California,1,2015,151458,44.4,76.3,12.3,76551,74907,116093,4333,12671,1333,393,77665,73793
6,23182,623182,Fairfield city, California,1,2015,112972,41,73.9,11.2,55550,57422,57900,15796,18386,578,1590,79996,32976
6,24477,624477,Florence-Graham CDP, California,0,2015,66359,47.5,70.3,6.5,34186,32173,-998,-998,-998,-998,-998,5464,60895
6,24638,624638,Folsom city, California,1,2015,76368,39.2,76.8,11,41051,35317,53741,2973,13405,311,627,70546,5822
6,24680,624680,Fontana city, California,1,2015,207472,47.2,69,5.6,100644,106828,79854,14490,12449,1206,224,51338,156134
6,26000,626000,Fremont city, California,1,2015,232191,43.4,77.7,11.4,114383,117808,58670,6071,132865,527,3959,202597,29594
6,27000,627000,Fresno city, California,1,2015,520072,44.1,70.7,10.1,256130,263942,311604,40021,69359,5904,1257,263927,256145
6,28000,628000,Fullerton city, California,1,2015,140849,45.2,78.8,12.6,69549,71300,85666,3174,30849,197,394,87390,53459
6,29000,629000,Garden Grove city, California,1,2015,175384,42,78.2,13.7,86779,88605,64048,1084,70118,1148,558,109346,66038
6,30000,630000,Glendale city, California,1,2015,201025,39.8,83.7,16.6,98181,102844,142232,3539,38323,167,371,170218,30807
6,32548,632548,Hawthorne city, California,1,2015,88444,46,74.8,8.9,43682,44762,22545,20617,7361,339,132,38329,50115
6,33000,633000,Hayward city, California,1,2015,158300,45.7,77.5,11.1,78152,80148,67679,16822,41446,941,3388,93420,64880
6,33182,633182,Hemet city, California,1,2015,83873,35.5,71.7,20.2,38622,45251,65152,6421,3196,1181,649,46425,37448
6,33434,633434,Hesperia city, California,1,2015,93286,41.2,68.9,9.9,43588,49698,76974,4703,1164,1490,65,39521,53765
6,36000,636000,Huntington Beach city, California,1,2015,201927,37.4,80.2,16.6,99967,101960,145828,2862,22739,1358,643,159624,42303
6,36448,636448,Indio city, California,1,2015,87526,42,72.7,15.5,43803,43723,47273,2887,2120,979,0,28674,58852
6,36546,636546,Inglewood city, California,1,2015,111656,43.5,75.6,12.2,52995,58661,31421,42220,1677,416,71,50783,60873
6,36770,636770,Irvine city, California,1,2015,256927,48,79.5,10,125411,131516,116385,7605,116420,207,362,237661,19266
6,37692,637692,Jurupa Valley city, California,0,2015,100314,42.4,74.6,10.9,49430,50884,56160,2853,4087,987,69,33789,66525
6,39248,639248,Laguna Niguel city, California,0,2015,65812,32,80,17,30193,35619,52322,397,6683,800,424,56609,9203
6,39496,639496,Lake Forest city, California,1,2015,82497,38.9,77.9,13.2,41515,40982,55977,1717,13868,219,0,65087,17410
6,39892,639892,Lakewood city, California,1,2015,81592,40.4,77.4,13.2,41523,40069,40989,5351,17524,142,2176,56605,24987
6,40130,640130,Lancaster city, California,1,2015,161113,44.3,71.4,9.1,80668,80445,104759,32622,7274,536,0,103690,57423
6,41992,641992,Livermore city, California,1,2015,88117,38.2,74.6,11.1,41522,46595,67710,1452,10932,273,109,68535,19582
6,43000,643000,Long Beach city, California,1,2015,474172,44.7,76.6,11.2,238159,236013,262242,58597,58754,8376,5017,266282,207890
6,44000,644000,Los Angeles city, California,1,2015,3971896,46.5,78.5,11.5,1958998,2012898,2068389,364740,457354,34816,6663,2035164,1936732
