Fips_State,Fips_Place,Fips_State_Place,City_Name,St_Name,NYU_500_Largest,Year,Pop_Total,Per_15to44_years(%),Per_18_years_and_over(%),Per_65_years_and_over(%),Pop_Male,Pop_Female,Pop_White,Pop_Black,Pop_Asian,Pop_AIAN,Pop_NHOPI,Pop_Nonhispanic,Pop_Hispanic
06,17918,0617918,Daly City city,California,1,1990,92311,49.99,76.02,10.49,44914,47397,36421,7106,39245,384,1221,71677,20634
06,19766,0619766,Downey city,California,1,1990,91444,47.15,75.61,13.41,44958,46486,66323,3068,7869,586,201,61875,29569
06,21712,0621712,El Cajon city,California,1,1990,88693,50.64,73.63,10.92,43156,45537,77483,2589,2128,865,371,76306,12387
06,22020,0622020,Elk Grove CDP,California,1,1990,17483,48.44,67.47,7.46,8543,8940,15798,369,697,159,38,15803,1680
06,22230,0622230,El Monte city,California,1,1990,106209,52.23,65.97,6.43,54564,51645,66096,1047,12336,600,153,29218,76991
06,22804,0622804,Escondido city,California,1,1990,108635,49.05,73.47,12.96,53362,55273,92504,1585,3803,902,237,83255,25380
06,23182,0623182,Fairfield city,California,1,1990,77211,51.77,69.81,6.36,38849,38362,52636,10656,7371,786,891,67003,10208
06,24638,0624638,Folsom city,California,1,1990,29802,57.72,78.87,8.69,17882,11920,25026,2949,989,195,42,26557,3245
06,24680,0624680,Fontana city,California,1,1990,87535,51.47,63.86,5.50,43227,44308,59304,7616,3642,800,321,55938,31597
06,26000,0626000,Fremont city,California,1,1990,173339,53.14,74.22,6.66,86808,86531,122376,6562,32707,1218,964,150248,23091
06,27000,0627000,Fresno city,California,1,1990,354202,47.92,68.26,10.11,172241,181961,209604,29409,43884,3729,474,248415,105787
06,28000,0628000,Fullerton city,California,1,1990,114144,51.89,77.40,10.22,57235,56909,85212,2479,13596,528,304,89840,24304
06,29000,0629000,Garden Grove city,California,1,1990,143050,51.26,73.71,8.75,72521,70529,96304,2144,28248,872,1089,109471,33579
06,30000,0630000,Glendale city,California,1,1990,180038,49.07,78.30,13.32,86606,93432,133270,2334,25222,629,231,142307,37731
06,32548,0632548,Hawthorne city,California,1,1990,71349,55.72,74.72,7.29,35318,36031,30166,20212,7265,326,554,49130,22219
06,33000,0633000,Hayward city,California,1,1990,111498,50.46,75.16,10.68,54883,56615,68911,10965,15710,1084,1625,84827,26671
06,33182,0633182,Hemet city,California,1,1990,36094,28.56,83.17,42.08,16323,19771,32802,244,405,319,20,30711,5383
06,33434,0633434,Hesperia city,California,1,1990,50418,44.58,66.93,11.34,25133,25285,43191,1249,579,464,133,40845,9573
06,36000,0636000,Huntington Beach city,California,1,1990,181519,54.01,79.03,8.31,91714,89805,156314,1687,14501,1157,547,161122,20397
06,36448,0636448,Indio city,California,1,1990,36793,49.15,66.09,8.08,18651,18142,20045,1482,569,281,19,11725,25068
06,36546,0636546,Inglewood city,California,1,1990,109602,52.55,69.89,6.84,53145,56457,19073,56861,2212,427,542,67353,42249
06,36770,0636770,Irvine city,California,1,1990,110330,56.69,75.62,5.76,53430,56900,85945,2002,19787,259,183,103428,6902
06,39892,0639892,Lakewood city,California,1,1990,73557,47.38,75.33,12.07,36245,37312,59690,2712,6524,487,360,62794,10763
06,40130,0640130,Lancaster city,California,1,1990,97291,50.76,70.08,7.88,48695,48596,77225,7207,3453,913,165,82475,14816
06,41992,0641992,Livermore city,California,1,1990,56741,50.93,72.77,7.11,28275,28466,50721,863,2428,414,182,51154,5587
06,43000,0643000,Long Beach city,California,1,1990,429433,52.51,74.51,10.82,216685,212748,250716,58761,53080,2781,5186,328014,101419
06,44000,0644000,Los Angeles city,California,1,1990,3485398,52.65,75.23,9.98,1750055,1735343,1841182,487674,334374,16379,7433,2093987,1391411
06,44574,0644574,Lynwood city,California,1,1990,61945,52.05,62.48,5.14,31272,30673,14844,14652,906,258,467,18380,43565
06,45484,0645484,Manteca city,California,1,1990,40773,49.19,67.62,8.17,20464,20309,36502,605,1275,477,137,33532,7241
06,46898,0646898,Merced city,California,1,1990,56216,47.13,65.43,9.00,27764,28452,34675,3860,8447,522,117,39430,16786
06,47766,0647766,Milpitas city,California,1,1990,50686,56.08,73.41,4.85,26867,23819,26413,2970,17082,479,490,41252,9434
06,48256,0648256,Mission Viejo city,California,1,1990,72820,50.31,72.33,7.90,36082,36738,65756,680,4453,228,99,67205,5615
06,48354,0648354,Modesto city,California,1,1990,164730,47.37,69.83,10.48,79924,84806,132701,4413,12172,1694,829,137810,26920
06,49270,0649270,Moreno Valley city,California,1,1990,118779,51.65,63.09,3.99,59157,59622,80116,16402,7261,856,634,91614,27165
06,49670,0649670,Mountain View city,California,1,1990,67460,58.16,82.25,9.80,34388,33072,49062,3390,9656,391,276,56639,10821
06,50076,0650076,Murrieta CDP,California,1,1990,1628,44.23,71.01,13.21,821,807,1482,13,9,27,0,1348,280
06,50258,0650258,Napa city,California,1,1990,61842,45.56,75.42,14.89,29993,31849,55846,237,1171,474,121,52417,9425
06,51182,0651182,Newport Beach city,California,1,1990,66643,48.45,86.69,15.48,32898,33745,63850,230,1861,170,66,63995,2648
06,52526,0652526,Norwalk city,California,1,1990,94279,49.81,70.18,8.60,47293,46986,52636,3061,11243,813,459,49161,45118
06,53000,0653000,Oakland city,California,1,1990,372242,50.33,75.13,12.05,178824,193418,120849,163335,53206,2371,1725,320531,51711
06,53322,0653322,Oceanside city,California,1,1990,128398,48.83,73.78,14.03,63693,64705,95935,10129,5911,910,1914,99416,28982
06,53896,0653896,Ontario city,California,1,1990,133179,52.33,67.11,6.37,67101,66078,86056,9724,4617,914,566,77637,55542
06,53980,0653980,Orange city,California,1,1990,110658,52.14,75.64,8.70,55809,54849,91838,1551,8524,596,216,85380,25278
06,54652,0654652,Oxnard city,California,1,1990,142216,50.40,69.29,7.74,72729,69487,83428,7464,11334,1092,864,64896,77320
06,55156,0655156,Palmdale city,California,1,1990,68842,51.93,64.74,4.76,34723,34119,52101,4398,2896,648,134,53688,15154
06,56000,0656000,Pasadena city,California,1,1990,131591,51.24,77.97,13.18,64227,67364,75342,24952,10510,591,168,95679,35912
06,56700,0656700,Perris city,California,1,1990,21460,47.67,65.83,9.62,10612,10848,15119,2788,618,218,95,13756,7704
06,57792,0657792,Pleasanton city,California,1,1990,50553,52.38,74.20,5.38,25068,25485,45835,694,2820,216,104,47170,3383
06,58072,0658072,Pomona city,California,1,1990,131723,52.05,67.20,6.98,67596,64127,75113,19013,8477,745,314,64190,67533
06,59451,0659451,Rancho Cucamonga city,California,1,1990,101409,53.43,68.37,5.05,50117,51292,79698,5952,5130,580,388,81111,20298
06,59920,0659920,Redding city,California,1,1990,66462,44.34,73.11,14.45,31964,34498,61545,699,2106,1433,67,63830,2632
06,59962,0659962,Redlands city,California,1,1990,60394,48.05,73.04,11.94,28905,31489,48067,2313,2539,441,129,48944,11450
06,60018,0660018,Redondo Beach city,California,1,1990,60167,61.24,83.78,7.21,30787,29380,52371,960,3876,311,235,53250,6917
06,60102,0660102,Redwood City city,California,1,1990,66072,52.08,77.95,11.51,33294,32778,54684,2406,3710,336,465,50137,15935
06,60466,0660466,Rialto city,California,1,1990,72388,48.40,64.38,6.62,35413,36975,41931,14734,2378,628,175,49601,22787
06,60620,0660620,Richmond city,California,1,1990,87425,48.21,73.57,11.34,41709,45716,31633,38260,10047,522,294,74735,12690
