FIPS_STATE,FIPS_PLACE,FIPS_STATE_PLACE,CITY_NAME,ST_NAME,NYU_500_LARGEST,YEAR,POP_TOTAL,PER_AGE_15TO44,PER_AGE_18PLUS,PER_AGE_65PLUS,POP_MALE,POP_FEMALE,POP_WHITE,POP_BLACK,POP_ASIAN,POP_AIAN,POP_NHOPI,POP_NONHISPANIC,POP_HISPANIC
29,35000,2935000,Independence city, Missouri,1,2005,111842,39.20,77.45,14.87,57505,54337,99498,4218,689,129,54,-998,-998
29,38000,2938000,Kansas City city, Missouri,1,2005,440885,44.74,75.39,10.56,212392,228493,271210,132187,10878,1988,1054,404890,35995
29,41348,2941348,Lee's Summit city, Missouri,1,2005,86357,39.48,69.75,10.24,40180,46177,78574,4712,821,268,116,-998,-998
29,54074,2954074,O'Fallon city, Missouri,1,2005,67875,46.09,69.50,6.16,34618,33257,62989,3406,682,0,0,-998,-998
29,64550,2964550,St. Joseph city, Missouri,1,2005,68971,42.88,75.05,13.79,32857,36114,64150,3038,457,395,0,-998,-998
29,65000,2965000,St. Louis city, Missouri,1,2005,333730,43.02,74.25,11.74,156343,177387,147955,168909,7199,1603,0,-998,-998
29,70000,2970000,Springfield city, Missouri,1,2005,139600,45.42,80.52,14.58,68753,70847,129115,4151,2108,755,107,-998,-998
30,06550,3006550,Billings city, Montana,1,2005,92844,40.06,78.56,14.86,45247,47597,86136,840,665,3908,0,-998,-998
31,28000,3128000,Lincoln city, Nebraska,1,2005,226062,46.81,77.28,10.44,111179,114883,202867,7184,7572,1668,0,-998,-998
31,37000,3137000,Omaha city, Nebraska,1,2005,373215,43.75,74.88,11.15,182267,190948,288708,50452,6971,1944,125,333541,39674
32,31900,3231900,Henderson city, Nevada,1,2005,223776,41.90,76.37,11.42,109813,113963,181638,11017,9476,1850,2560,197705,26071
32,40000,3240000,Las Vegas city, Nevada,1,2005,538653,43.28,73.03,11.54,269827,268826,400007,60602,25779,3845,2206,384840,153813
32,51800,3251800,North Las Vegas city, Nevada,1,2005,165061,47.29,67.46,5.78,85881,79180,110391,26766,8471,1738,1061,99843,65218
32,54600,3254600,Paradise CDP, Nevada,0,2005,211509,46.62,75.72,11.06,110449,101060,147709,19914,17625,2017,909,154685,56824
32,60600,3260600,Reno city, Nevada,1,2005,204478,45.91,76.84,11.07,102626,101852,155991,6025,12067,2997,1783,158813,45665
32,68400,3268400,Sparks city, Nevada,1,2005,76405,40.20,70.89,12.20,37761,38644,63540,1649,4885,382,0,57512,18893
32,68585,3268585,Spring Valley CDP, Nevada,0,2005,140723,43.66,78.84,12.23,67213,73510,97382,10035,21573,686,296,114429,26294
32,71400,3271400,Sunrise Manor CDP, Nevada,0,2005,195609,44.23,70.20,9.32,102572,93037,124246,21927,15947,2425,1792,120386,75223
33,45140,3345140,Manchester city, New Hampshire,1,2005,109308,44.02,77.46,11.91,54470,54838,99760,3667,2695,271,0,102629,6679
33,50260,3350260,Nashua city, New Hampshire,1,2005,84632,47.51,75.60,9.90,41940,42692,73255,1215,7370,1170,0,-998,-998
