fips_state,fips_place,fips_state_place,city_name,st_name,NYU_500_Largest,Year,census_population,15 to 44 years,18 years and over,65 years and over,pop_male,pop_female,pop_white,pop_black,pop_asian,pop_AIAN,pop_NHOPI,pop_nonhispanic,pop_hispanic
06,11194,0611194,Carlsbad city,California,1,1990,63126,49.9,78.41,13.100000000000001,31939,31187,56664,745,1851,296,152,54426,8700
06,11390,0611390,Carmichael CDP,California,0,1990,48702,44.629999999999995,76.83,13.69,22882,25820,44968,1048,1457,405,112,46256,2446
06,11530,0611530,Carson city,California,1,1990,83995,47.9,72.7,8.05,41273,42722,29160,21953,18007,496,2965,60582,23413
06,11964,0611964,Castro Valley CDP,California,0,1990,48619,44.879999999999995,77.55,15.02,23435,25184,41778,1386,3981,253,188,44156,4463
06,13014,0613014,Chico city,California,1,1990,40079,65.49000000000001,81.37,9.01,20112,19967,35858,731,1513,439,89,36595,3484
06,13210,0613210,Chino city,California,1,1990,59682,57.809999999999995,71.76,5.04,33909,25773,40171,5820,1970,277,86,38094,21588
06,13214,0613214,Chino Hills CDP,California,1,1990,27608,56.74,67.9,2.4699999999999998,13972,13636,20482,1381,3696,156,59,23017,4591
06,13392,0613392,Chula Vista city,California,1,1990,135163,48.54,73.92999999999999,11.67,66354,68809,91563,6216,11161,863,914,84787,50376
06,13588,0613588,Citrus Heights CDP,California,1,1990,107439,49.769999999999996,73.34,9.610000000000001,52070,55369,97979,2473,3295,1181,250,100071,7368
06,14218,0614218,Clovis city,California,1,1990,50323,51.82,69.31,7.920000000000001,24318,26005,41855,865,2716,690,41,42117,8206
06,15044,0615044,Compton city,California,1,1990,90454,48.59,63.3,5.7299999999999995,44365,46089,9571,49598,453,287,1295,50944,39510
06,16000,0616000,Concord city,California,1,1990,111348,50.8,75.39,9.47,54786,56562,93565,2624,9185,763,483,98583,12765
06,16350,0616350,Corona city,California,1,1990,76095,53.059999999999995,68.84,5.83,38561,37534,57744,2102,5214,634,185,52994,23101
06,16532,0616532,Costa Mesa city,California,1,1990,96357,58.63,80.47,8.19,49215,47142,81238,1282,5818,475,500,77038,19319
06,17918,0617918,Daly City city,California,1,1990,92311,49.99,76.02,10.489999999999998,44914,47397,36421,7106,39245,384,1221,71677,20634
06,18100,0618100,Davis city,California,0,1990,46209,67.19000000000001,83.39999999999999,6.16,22526,23683,36851,1391,6003,337,80,42784,3425
06,19766,0619766,Downey city,California,1,1990,91444,47.15,75.61,13.41,44958,46486,66323,3068,7869,586,201,61875,29569
06,20802,0620802,East Los Angeles CDP,California,0,1990,126379,51.77,66.64999999999999,7.61,63286,63093,53330,1772,1541,527,50,6695,119684
06,21712,0621712,El Cajon city,California,1,1990,88693,50.63999999999999,73.63,10.92,43156,45537,77483,2589,2128,865,371,76306,12387
